ロケットエンジン最適化計算結果（詳細版）
============================================================

燃料: CH4, 酸化剤: N2O
計算回数: 100
パラメータ範囲:
  燃焼室圧力: 5-15 bar
  混合比: 4.0-7.0
  膨張比: 20-50
  質量流量: 0.1-0.5 kg/s

回数	Pc[bar]	MR		eps		mdot[kg/s]	Isp(vac)[s]	Isp(sl)[s]	C*[m/s]	Tc[K]		γ		Pe[bar]		Cf		推力(vac)[N]	推力(sl)[N]	At[m²]		Ae[m²]		Rt[mm]		Re[mm]
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
77	12.23		5.05		20.42		0.29		276.28		212.91		5045.30		4366		1.200		4.884		0.846		776.41		598.34		0.000057	0.001160	4.25		19.21
78	7.68		4.05		48.11		0.38		269.92		166.64		4749.27		3615		1.200		2.694		0.899		1017.43		628.12		0.000081	0.003894	5.08		35.21
79	12.49		4.15		31.15		0.46		266.87		176.98		4787.56		3709		1.200		4.688		0.872		1203.23		797.94		0.000096	0.002991	5.53		30.86
80	14.59		6.74		28.66		0.21		296.80		209.48		5237.02		5022		1.200		5.547		0.867		616.58		435.17		0.000040	0.001159	3.59		19.21
81	8.51		6.76		49.74		0.21		303.08		190.90		5220.28		4955		1.200		2.971		0.901		636.91		401.17		0.000041	0.002042	3.61		25.49
82	9.89		4.91		34.75		0.30		280.35		189.45		5014.11		4274		1.200		3.651		0.879		826.04		558.21		0.000060	0.002082	4.37		25.74
83	9.61		6.99		42.99		0.10		303.01		196.86		5228.57		5012		1.200		3.433		0.892		300.34		195.12		0.000019	0.000831	2.48		16.26
84	13.83		6.15		49.76		0.22		298.45		163.90		5201.43		4860		1.200		4.826		0.901		649.54		356.71		0.000043	0.002123	3.69		26.00
85	13.69		4.68		26.21		0.20		273.77		193.79		4957.07		4133		1.200		5.272		0.861		536.70		379.91		0.000040	0.001057	3.58		18.34
86	14.06		5.95		21.42		0.20		286.99		218.80		5183.57		4795		1.200		5.577		0.849		555.28		423.35		0.000038	0.000815	3.48		16.11
87	9.54		4.70		39.30		0.12		278.57		179.89		4962.71		4138		1.200		3.455		0.886		316.96		204.68		0.000023	0.000919	2.73		17.10
88	6.56		6.76		36.18		0.21		299.40		224.01		5211.01		4919		1.200		2.407		0.881		617.74		462.18		0.000040	0.001461	3.58		21.56
89	6.33		4.87		29.21		0.37		277.82		215.08		5004.22		4231		1.200		2.400		0.868		996.88		771.77		0.000073	0.002136	4.82		26.08
90	10.44		4.68		30.02		0.46		275.34		192.78		4958.10		4129		1.200		3.941		0.870		1254.38		878.25		0.000094	0.002813	5.46		29.92
91	10.47		4.70		35.31		0.15		277.48		183.46		4963.74		4143		1.200		3.856		0.880		397.03		262.49		0.000029	0.001038	3.06		18.18
92	8.03		4.14		23.17		0.40		262.77		202.33		4783.82		3696		1.200		3.149		0.854		1041.93		802.27		0.000085	0.001959	5.19		24.97
93	12.70		6.24		38.59		0.45		296.52		189.24		5206.69		4879		1.200		4.613		0.885		1312.52		837.65		0.000087	0.003345	5.25		32.63
94	11.66		6.54		33.62		0.14		297.31		203.63		5222.59		4950		1.200		4.325		0.877		396.73		271.72		0.000026	0.000876	2.88		16.70
95	5.92		5.26		20.84		0.33		279.21		232.82		5082.16		4438		1.200		2.357		0.847		890.15		742.25		0.000064	0.001333	4.51		20.60
96	12.04		5.82		35.47		0.47		291.77		193.02		5167.59		4733		1.200		4.432		0.880		1348.37		892.00		0.000091	0.003234	5.39		32.09
97	13.81		6.61		46.19		0.47		301.40		174.67		5230.31		4986		1.200		4.876		0.897		1385.30		802.81		0.000090	0.004139	5.34		36.30
98	12.99		6.52		29.60		0.20		295.66		208.50		5224.49		4958		1.200		4.912		0.869		570.82		402.55		0.000038	0.001115	3.46		18.84
99	11.66		6.17		45.75		0.39		297.79		178.07		5200.18		4851		1.200		4.124		0.896		1143.73		683.93		0.000075	0.003446	4.90		33.12
100	5.15		4.25		32.82		0.35		268.94		212.37		4825.99		3788		1.200		1.919		0.875		928.48		733.18		0.000073	0.002394	4.82		27.61

統計情報:
真空比推力 Isp(vac): 最大=303.72s, 最小=262.77s, 平均=284.74s
海面比推力 Isp(sl): 最大=247.44s, 最小=142.41s, 平均=194.69s
燃焼室温度 Tc: 最大=5038K, 最小=3597K, 平均=4423K
比熱比 γ: 最大=1.200, 最小=1.200, 平均=1.200
推力係数 Cf: 最大=0.901, 最小=0.846, 平均=0.879
真空推力: 最大=1433.13N, 最小=275.76N, 平均=830.96N
海面推力: 最大=1088.71N, 最小=141.93N, 平均=569.02N
排気圧力: 最大=5.761bar, 最小=1.897bar, 平均=3.713bar
